"C-gbcode","C-source","N-pinyin","N-local","N-hanzi","H","A","change","P","fromdate","todate","NOTES"
130500,"GB","Xingtai shi","Xingtai shi","邢台市",0,0,"CHA",5,19831115,19860404,
130500,"GB","Xingtai shi","Xingtai shi","邢台市",0,0,"T",3,19860405,19930618,"H?"
130501,"GB","Xingtai shixiaqu","Xingtai shixiaqu","邢台市轄區",5,1,,0,19831115,19860404,
130501,"GB","Xingtai shixiaqu","Xingtai shixiaqu","邢台市轄區",3,1,"H",0,19860405,19941231,
130502,"GB","Xingtai: Qiaodong qu","Xingtai: Qiaodong qu","邢台﹕橋東區",3,2,"H",0,19860405,19941231,
130502,"GB","Xingtai: Qiaodong qu","Xingtai: Qiaodong qu","邢台﹕橋東區",5,2,,0,19831115,19860404,
130503,"GB","Xingtai: Qiaoxi qu","Xingtai: Qiaoxi qu","邢台﹕橋西區",5,2,,0,19831115,19860404,
130503,"GB","Xingtai: Qiaoxi qu","Xingtai: Qiaoxi qu","邢台﹕橋西區",3,2,"H",0,19860405,19941231,
130504,"GB","Xingtai: Jiaoqu","Xingtai: Jiaoqu","邢台﹕郊區",3,2,"H",0,19860405,19880917,
130504,"GB","Xingtai: Jiaoqu","Xingtai: Jiaoqu","邢台﹕郊區",5,2,,0,19831115,19860404,
130521,"GB","Xingtai","Xingtai","邢台",3,5,"CH",0,19860405,19941231,
130522,"GB","Lincheng","Lincheng","臨城",3,5,"CH",0,19930619,19941231,
130523,"GB","Neiqiu","Neiqiu","內丘",3,5,"CH",0,19930619,19941231,
130524,"GB","Baixiang","Baixiang","柏鄉",3,5,"CH",0,19930619,19941231,
130525,"GB","Longyao","Longyao","隆堯",3,5,"CH",0,19930619,19941231,
130526,"GB","Ren xian","Ren xian","任縣",3,5,"CH",0,19930619,19941231,
130527,"GB","Nanhe","Nanhe","南和",3,5,"CH",0,19930619,19941231,
130528,"GB","Ningjin","Ningjin","寧晉",3,5,"CH",0,19930619,19941231,
130529,"GB","Julu","Julu","巨鹿",3,5,"CH",0,19930619,19941231,
130530,"GB","Xinhe","Xinhe","新河",3,5,"CH",0,19930619,19941231,
130531,"GB","Guangzong","Guangzong","廣宗",3,5,"CH",0,19930619,19941231,
130532,"GB","Pingxiang","Pingxiang","平鄉",3,5,"CH",0,19930619,19941231,
130533,"GB","Wei xian","Wei xian","威縣",3,5,"CH",0,19930619,19941231,
130534,"GB","Qinghe","Qinghe","清河",3,5,"CH",0,19930619,19941231,
130535,"GB","Linxi","Linxi","臨西",3,5,"CH",0,19930619,19941231,
130581,"GB","Shahe shi","Shahe shi","沙河市",9,3,"CH",0,19930619,19941231,
130582,"GB","Nangong shi","Nangong shi","南宮市",9,3,"CH",0,19930619,19941231,
130600,"GB","Baoding shi","Baoding shi","保定市",0,0,"T",3,19941217,19941231,
130600,"GB","Baoding shi","Baoding shi","保定市",0,0,"T",3,19860405,19941216,
130600,"GB","Baoding shi","Baoding shi","保定市",0,0,"CHAT",3,19831115,19860404,
130601,"GB","Baoding shixiaqu","Baoding shixiaqu","保定市轄區",3,1,,0,19831115,19941231,
130602,"GB","Baoding: Xinshi qu","Baoding: Xinshi qu","保定﹕新市區",3,2,,0,19831115,19941231,
130603,"GB","Baoding: Beishi qu","Baoding: Beishi qu","保定﹕北市區",3,2,,0,19831115,19941231,
130604,"GB","Baoding: Nanshi qu","Baoding: Nanshi qu","保定﹕南市區",3,2,,0,19831115,19941231,
130605,"GB","Baoding: Jiaoqu","Baoding: Jiaoqu","保定﹕郊區",3,2,,0,19831115,19871014,
130621,"GB","Mancheng","Mancheng","滿城",3,5,"CH",0,19831115,19941231,
130622,"GB","Qingyuan","Qingyuan","清苑",3,5,"CH",0,19860405,19941231,
130623,"CM","Yi xian","Yi xian","易縣",3,5,"CH",0,19941217,19941231,
130624,"CM","Xushui","Xushui","徐水",3,5,"CH",0,19941217,19941231,
130625,"CM","Laiyuan","Laiyuan","淶源",3,5,"CH",0,19941217,19941231,
130626,"CM","Dingxing","Dingxing","定興",3,5,"CH",0,19941217,19941231,
130627,"CM","Shunping","Shunping","順平",3,5,"CH",0,19941217,19941231,
130628,"CM","Tang xian","Tang xian","唐縣",3,5,"CH",0,19941217,19941231,
130629,"CM","Wangdu","Wangdu","望都",3,5,"CH",0,19941217,19941231,
130630,"CM","Laishui","Laishui","淶水",3,5,"CH",0,19941217,19941231,
130631,"CM","Gaoyang","Gaoyang","高陽",3,5,"CH",0,19941217,19941231,
130632,"CM","Anxin","Anxin","安新",3,5,"CH",0,19941217,19941231,
130633,"CM","Xiong xian","Xiong xian","雄縣",3,5,"CH",0,19941217,19941231,
