130600,保定市,Baoding shi,Baoding shi,2,38.8674883,115.4743874
130601,保定市轄區,Baoding shixiaqu,Baoding shixiaqu,3,,
130602,保定﹕新市區,Baoding: Xinshi qu,Baoding: Xinshi qu,3,,
130603,保定﹕北市區,Baoding: Beishi qu,Baoding: Beishi qu,3,,
130604,保定﹕南市區,Baoding: Nanshi qu,Baoding: Nanshi qu,3,,
130621,滿城,Mancheng,Mancheng,3,,
130622,清苑,Qingyuan,Qingyuan,3,,
130623,涞水县,,,3,39.6266725,115.4281461
130624,阜平县,,,3,38.8903481,114.1507709
130625,徐水县,,,3,39.0238932,115.5543923
130626,定興,Dingxing,Dingxing,3,,
130627,唐县,,,3,38.8844021,114.7692776
130628,高阳县,,,3,38.6472769,115.8026254
130629,容城县,,,3,39.0402446,115.9076178
130630,涞源县,,,3,39.3648535,114.7144318
130631,望都县,,,3,38.6588813,115.1733577
130632,安新,Anxin,Anxin,3,,
130633,易县,,,3,39.3174913,115.2449405
130634,曲阳县,,,3,38.7157448,114.6474624
130635,蠡县,,,3,38.5144011,115.6602538
130636,顺平县,,,3,38.9314721,115.0658333
130637,博野,Boye,Boye,3,,
130638,雄县,,,3,39.0420112,116.1753666
130681,涿州市,,,3,39.4783240,116.0000145
130682,定州市,,,3,38.5077450,114.9915650
130683,安國市,Anguo shi,Anguo shi,3,,
130684,高碑店市,Gaobeidian shi,Gaobeidian shi,3,39.2393083,115.9998751
130700,張家口市,Zhangjiakou shi,Zhangjiakou shi,2,,
130701,張家口市轄區,Zhangjiakou shixiaqu,Zhangjiakou shixiaqu,3,,
130702,張家口﹕橋東區,Zhangjiakou: Qiaodong qu,Zhangjiakou: Qiaodong qu,3,,
130703,張家口﹕橋西區,Zhangjiakou: Qiaoxi qu,Zhangjiakou: Qiaoxi qu,3,,
130705,張家口﹕宣化區,Zhangjiakou: Xuanhua qu,Zhangjiakou: Xuanhua qu,3,,
130706,張家口﹕下花園區,Zhangjiakou: Xiahuayuan qu,Zhangjiakou: Xiahuayuan qu,3,,
130721,宣化,Xuanhua,Xuanhua,3,,
130722,張北,Zhangbei,Zhangbei,3,,
130723,康保,Kangbao,Kangbao,3,,
130724,沽源,Guyuan,Guyuan,3,,
130725,尚義,Shangyi,Shangyi,3,,
130726,蔚縣,Yu xian,Yu xian,3,,
130727,陽原,Yangyuan,Yangyuan,3,,
130728,懷安,Huai'an,Huai'an,3,,
130729,萬全,Wanquan,Wanquan,3,,
130730,懷來,Huailai,Huailai,3,,
130731,涿鹿,Zhuolu,Zhuolu,3,,
130732,赤城,Chicheng,Chicheng,3,,
130733,崇禮,Chongli,Chongli,3,,
130800,承德市,Chengde shi,Chengde shi,2,41.0299509,117.8852105
130801,承德市轄區,Chengde shixiaqu,Chengde shixiaqu,3,,
130802,承德﹕雙橋區,Chengde: Shuangqiao qu,Chengde: Shuangqiao qu,3,,
130803,承德﹕雙灤區,Chengde: Shuangluan qu,Chengde: Shuangluan qu,3,,
130804,承德﹕鷹手營子礦區,Chengde: Yingshouyingzi Kuangqu,Chengde: Yingshouyingzi Kuangqu,3,,
130821,承德,Chengde,Chengde,3,,
130822,興隆,Xinglong,Xinglong,3,,
130823,平泉,Pingquan,Pingquan,3,,
130824,灤平,Luanping,Luanping,3,,
130825,隆化,Longhua,Longhua,3,,
130826,豐寧滿族自治縣,Fengning Manzu zizhixian,Fengning Manzu zizhixian,3,,
130827,寬城滿族自治縣,Kuancheng Manzu zizhixian,Kuancheng Manzu zizhixian,3,,
130828,圍場滿族蒙古族自治縣,Weichang Manzu Mengguzu zizhixian,Weichang Manzu Mengguzu zizhixian,3,,
130900,滄州市,Cangzhou shi,Cangzhou shi,2,,
130901,滄州市轄區,Cangzhou shixiaqu,Cangzhou shixiaqu,3,,
130902,滄州﹕新華區,Cangzhou: Xinhua qu,Cangzhou: Xinhua qu,3,,
130903,滄州﹕運河區,Cangzhou: Yunhe qu,Cangzhou: Yunhe qu,3,,
130921,滄縣,Cang xian,Cang xian,3,,
130922,青縣,Qing xian,Qing xian,3,,
